Home/Neutral,PTS,Visitor/Neutral,PTS_1,Spread,Total,Result,Home_AdjOE,Home_Off_TO,Home_Off_OR,Home_Off_FTRate,Home_AdjDE,Home_Def_TO,Home_Def_OR,Home_Def_FTRate,Home_3P,Home_2P,Home_FT,Home_Tempo_Adj,Home_Avg_Poss_Length_Offense,Home_Avg_Poss_Length_Defense,Home_EffHgt,Home_Experience,Home_Continuity,Home_Best_Rank,Home_Top_50_Finishes,Home_opp_shooting_3P,Home_opp_shooting_2P,Home_opp_shooting_FT,Away_AdjOE,Away_Off_TO,Away_Off_OR,Away_Off_FTRate,Away_AdjDE,Away_Def_TO,Away_Def_OR,Away_Def_FTRate,Away_3P,Away_2P,Away_FT,Away_Tempo_Adj,Away_Avg_Poss_Length_Offense,Away_Avg_Poss_Length_Defense,Away_EffHgt,Away_Experience,Away_Continuity,Away_Best_Rank,Away_Top_50_Finishes,Away_opp_shooting_3P,Away_opp_shooting_2P,Away_opp_shooting_FT,Predicted_score_Home,Predicted_score_away,Predicted_tempo,Predicted_spread,Predicted_total,Predicted_Result
SMU,52,Cincinnati,54,-2,106,0,101.9,18.2,27.2,31.6,103.4,17.9,30.5,31.2,31.3,47.3,68.1,69.1,16.8,17.3,0.1,101.9,28.2,9.82,2,33.5,49.8,72,110.4,15.2,30.5,24,98.1,17.6,26.6,29.4,35.5,49.8,69.5,68.6,17.1,17.3,0.7,110.4,55.8,19.35,11,32,47.3,75.5,66.94423282,74.94553282,68.85,8.0013,141.8897656,0
Tulane,77,UCF,69,8,146,1,111.8,14.8,19.1,36.9,102.1,20.2,29,27.7,33.4,55.1,79.9,72.7,15.4,17.1,-1.2,111.8,81.9,0.72,0,35.8,48.2,68.7,109.6,20.9,35.4,30.4,97.8,20.6,30.9,31.7,36.3,47.4,76.2,64,18.6,17.9,1.3,109.6,15.6,5.66,0,31.3,47.4,73,73.03056606,72.96591606,68.35,-0.06465,145.9964821,1
Wichita St.,73,Tulsa,69,4,142,1,104.4,17.3,29,30.5,99.7,17.2,29.3,25.4,29.3,51.2,71.5,65.8,17.8,17.7,0.6,104.4,18.8,15.73,7,31.8,44.6,72.7,102.1,18.9,25.2,24.8,109.7,17.7,33.4,29.6,32.2,50.3,65.6,68.6,17.6,16.7,-0.9,102.1,36,9.68,2,30,56.1,72.9,74.85105251,65.08545251,67.2,-9.7656,139.936505,1
East Carolina,70,South Florida,81,-11,151,0,103.2,19.2,33.8,36.8,106.4,17.8,28.7,33.5,31.7,47.7,69.7,67.1,17.4,17.6,0.1,103.2,23.3,-1.03,0,34,48.6,70.7,106.6,19.4,33.7,30.3,103.9,20.1,28.6,38.6,34,50.5,64.7,68.3,16.6,17.8,0.7,106.6,46.5,3.9,0,34.2,47.7,73.8,70.65781927,73.15211927,67.7,2.4943,143.8099385,0
Temple,59,Memphis,61,-2,120,0,106.6,20.3,29.1,36,101.1,17,30.2,31,32.1,49.7,76.9,66.2,18.2,17.5,0.7,106.6,58.9,13.15,6,31.3,47.5,68,112.9,18.3,32.1,35.7,97.6,21.1,32.1,36.5,32.8,53.5,73.6,71.7,15.5,17.2,0.1,112.9,29.1,21.92,6,31.6,46.1,74.3,69.93518617,75.19228617,68.95,5.2571,145.1274723,0
Tulane,60,Houston,80,-20,140,0,111.8,14.8,19.1,36.9,102.1,20.2,29,27.7,33.4,55.1,79.9,72.7,15.4,17.1,-1.2,111.8,81.9,0.72,0,35.8,48.2,68.7,120.4,15,37.6,26.6,90.8,22.8,29,32.6,36,53.7,70.3,62.8,18.9,18.4,-0.6,120.4,40.4,13.91,5,27.2,42.6,71.7,67.66014595,79.64239595,67.75,11.98225,147.3025419,0
South Florida,69,Cincinnati,85,-16,154,0,106.6,19.4,33.7,30.3,103.9,20.1,28.6,38.6,34,50.5,64.7,68.3,16.6,17.8,0.7,106.6,46.5,3.9,0,34.2,47.7,73.8,110.4,15.2,30.5,24,98.1,17.6,26.6,29.4,35.5,49.8,69.5,68.6,17.1,17.3,0.7,110.4,55.8,19.35,11,32,47.3,75.5,69.78116941,74.85236941,68.45,5.0712,144.6335388,0
Temple,73,East Carolina,58,15,131,1,106.6,20.3,29.1,36,101.1,17,30.2,31,32.1,49.7,76.9,66.2,18.2,17.5,0.7,106.6,58.9,13.15,6,31.3,47.5,68,103.2,19.2,33.8,36.8,106.4,17.8,28.7,33.5,31.7,47.7,69.7,67.1,17.4,17.6,0.1,103.2,23.3,-1.03,0,34,48.6,70.7,73.51755908,66.21900908,66.65,-7.29855,139.7365682,1
Tulsa,76,SMU,79,-3,155,0,102.1,18.9,25.2,24.8,109.7,17.7,33.4,29.6,32.2,50.3,65.6,68.6,17.6,16.7,-0.9,102.1,36,9.68,2,30,56.1,72.9,101.9,18.2,27.2,31.6,103.4,17.9,30.5,31.2,31.3,47.3,68.1,69.1,16.8,17.3,0.1,101.9,28.2,9.82,2,33.5,49.8,72,70.73098282,73.43083282,68.85,2.69985,144.1618156,0
Memphis,88,Wichita St.,78,10,166,1,112.9,18.3,32.1,35.7,97.6,21.1,32.1,36.5,32.8,53.5,73.6,71.7,15.5,17.2,0.1,112.9,29.1,21.92,6,31.6,46.1,74.3,104.4,17.3,29,30.5,99.7,17.2,29.3,25.4,29.3,51.2,71.5,65.8,17.8,17.7,0.6,104.4,18.8,15.73,7,31.8,44.6,72.7,75.51167947,66.72417947,68.75,-8.7875,142.2358589,1
South Florida,85,UCF,72,13,157,1,106.6,19.4,33.7,30.3,103.9,20.1,28.6,38.6,34,50.5,64.7,68.3,16.6,17.8,0.7,106.6,46.5,3.9,0,34.2,47.7,73.8,109.6,20.9,35.4,30.4,97.8,20.6,30.9,31.7,36.3,47.4,76.2,64,18.6,17.9,1.3,109.6,15.6,5.66,0,31.3,47.4,73,67.28839232,71.80804232,66.15,4.51965,139.0964346,0
Tulsa,81,Tulane,79,2,160,1,102.1,18.9,25.2,24.8,109.7,17.7,33.4,29.6,32.2,50.3,65.6,68.6,17.6,16.7,-0.9,102.1,36,9.68,2,30,56.1,72.9,111.8,14.8,19.1,36.9,102.1,20.2,29,27.7,33.4,55.1,79.9,72.7,15.4,17.1,-1.2,111.8,81.9,0.72,0,35.8,48.2,68.7,71.62249316,82.34494316,70.65,10.72245,153.9674363,0
Cincinnati,68,Memphis,75,-7,143,0,110.4,15.2,30.5,24,98.1,17.6,26.6,29.4,35.5,49.8,69.5,68.6,17.1,17.3,0.7,110.4,55.8,19.35,11,32,47.3,75.5,112.9,18.3,32.1,35.7,97.6,21.1,32.1,36.5,32.8,53.5,73.6,71.7,15.5,17.2,0.1,112.9,29.1,21.92,6,31.6,46.1,74.3,73.7919264,74.3964264,70.15,0.6045,148.1883528,0
Houston,55,Temple,56,-1,111,0,120.4,15,37.6,26.6,90.8,22.8,29,32.6,36,53.7,70.3,62.8,18.9,18.4,-0.6,120.4,40.4,13.91,5,27.2,42.6,71.7,106.6,20.3,29.1,36,101.1,17,30.2,31,32.1,49.7,76.9,66.2,18.2,17.5,0.7,106.6,58.9,13.15,6,31.3,47.5,68,76.67691201,59.63241201,64.5,-17.0445,136.309324,1
SMU,69,Wichita St.,71,-2,140,0,101.9,18.2,27.2,31.6,103.4,17.9,30.5,31.2,31.3,47.3,68.1,69.1,16.8,17.3,0.1,101.9,28.2,9.82,2,33.5,49.8,72,104.4,17.3,29,30.5,99.7,17.2,29.3,25.4,29.3,51.2,71.5,65.8,17.8,17.7,0.6,104.4,18.8,15.73,7,31.8,44.6,72.7,66.69268589,69.37458589,67.45,2.6819,136.0672718,0
East Carolina,76,Tulsa,66,10,142,1,103.2,19.2,33.8,36.8,106.4,17.8,28.7,33.5,31.7,47.7,69.7,67.1,17.4,17.6,0.1,103.2,23.3,-1.03,0,34,48.6,70.7,102.1,18.9,25.2,24.8,109.7,17.7,33.4,29.6,32.2,50.3,65.6,68.6,17.6,16.7,-0.9,102.1,36,9.68,2,30,56.1,72.9,74.7463493,70.2609493,67.85,-4.4854,145.0072986,1
UCF,71,Houston,82,-11,153,0,109.6,20.9,35.4,30.4,97.8,20.6,30.9,31.7,36.3,47.4,76.2,64,18.6,17.9,1.3,109.6,15.6,5.66,0,31.3,47.4,73,120.4,15,37.6,26.6,90.8,22.8,29,32.6,36,53.7,70.3,62.8,18.9,18.4,-0.6,120.4,40.4,13.91,5,27.2,42.6,71.7,62.01742514,71.80262514,63.4,9.7852,133.8200503,0
Temple,79,South Florida,76,3,155,1,106.6,20.3,29.1,36,101.1,17,30.2,31,32.1,49.7,76.9,66.2,18.2,17.5,0.7,106.6,58.9,13.15,6,31.3,47.5,68,106.6,19.4,33.7,30.3,103.9,20.1,28.6,38.6,34,50.5,64.7,68.3,16.6,17.8,0.7,106.6,46.5,3.9,0,34.2,47.7,73.8,72.48462919,69.10162919,67.25,-3.383,141.5862584,1
Wichita St.,90,Tulane,95,-5,185,0,104.4,17.3,29,30.5,99.7,17.2,29.3,25.4,29.3,51.2,71.5,65.8,17.8,17.7,0.6,104.4,18.8,15.73,7,31.8,44.6,72.7,111.8,14.8,19.1,36.9,102.1,20.2,29,27.7,33.4,55.1,79.9,72.7,15.4,17.1,-1.2,111.8,81.9,0.72,0,35.8,48.2,68.7,71.82569623,73.78819623,69.25,1.9625,145.6138925,0
Memphis,99,SMU,84,15,183,1,112.9,18.3,32.1,35.7,97.6,21.1,32.1,36.5,32.8,53.5,73.6,71.7,15.5,17.2,0.1,112.9,29.1,21.92,6,31.6,46.1,74.3,101.9,18.2,27.2,31.6,103.4,17.9,30.5,31.2,31.3,47.3,68.1,69.1,16.8,17.3,0.1,101.9,28.2,9.82,2,33.5,49.8,72,79.89275978,66.56555978,70.4,-13.3272,146.4583196,1
UCF,70,Temple,77,-7,147,0,109.6,20.9,35.4,30.4,97.8,20.6,30.9,31.7,36.3,47.4,76.2,64,18.6,17.9,1.3,109.6,15.6,5.66,0,31.3,47.4,73,106.6,20.3,29.1,36,101.1,17,30.2,31,32.1,49.7,76.9,66.2,18.2,17.5,0.7,106.6,58.9,13.15,6,31.3,47.5,68,70.34543212,64.74413212,65.1,-5.6013,135.0895642,1
Houston,75,Cincinnati,69,6,144,1,120.4,15,37.6,26.6,90.8,22.8,29,32.6,36,53.7,70.3,62.8,18.9,18.4,-0.6,120.4,40.4,13.91,5,27.2,42.6,71.7,110.4,15.2,30.5,24,98.1,17.6,26.6,29.4,35.5,49.8,69.5,68.6,17.1,17.3,0.7,110.4,55.8,19.35,11,32,47.3,75.5,76.10455223,63.23845223,65.7,-12.8661,139.3430045,1
East Carolina,72,Wichita St.,85,-13,157,0,103.2,19.2,33.8,36.8,106.4,17.8,28.7,33.5,31.7,47.7,69.7,67.1,17.4,17.6,0.1,103.2,23.3,-1.03,0,34,48.6,70.7,104.4,17.3,29,30.5,99.7,17.2,29.3,25.4,29.3,51.2,71.5,65.8,17.8,17.7,0.6,104.4,18.8,15.73,7,31.8,44.6,72.7,66.59000237,70.33955237,66.45,3.74955,136.9295547,0
SMU,82,South Florida,80,2,162,1,101.9,18.2,27.2,31.6,103.4,17.9,30.5,31.2,31.3,47.3,68.1,69.1,16.8,17.3,0.1,101.9,28.2,9.82,2,33.5,49.8,72,106.6,19.4,33.7,30.3,103.9,20.1,28.6,38.6,34,50.5,64.7,68.3,16.6,17.8,0.7,106.6,46.5,3.9,0,34.2,47.7,73.8,70.78625279,72.17165279,68.7,1.3854,142.9579056,0
Tulsa,68,Memphis,80,-12,148,0,102.1,18.9,25.2,24.8,109.7,17.7,33.4,29.6,32.2,50.3,65.6,68.6,17.6,16.7,-0.9,102.1,36,9.68,2,30,56.1,72.9,112.9,18.3,32.1,35.7,97.6,21.1,32.1,36.5,32.8,53.5,73.6,71.7,15.5,17.2,0.1,112.9,29.1,21.92,6,31.6,46.1,74.3,67.9694764,82.5338264,70.15,14.56435,150.5033028,0
Cincinnati,81,Tulsa,55,26,136,1,110.4,15.2,30.5,24,98.1,17.6,26.6,29.4,35.5,49.8,69.5,68.6,17.1,17.3,0.7,110.4,55.8,19.35,11,32,47.3,75.5,102.1,18.9,25.2,24.8,109.7,17.7,33.4,29.6,32.2,50.3,65.6,68.6,17.6,16.7,-0.9,102.1,36,9.68,2,30,56.1,72.9,80.49519944,65.34379944,68.6,-15.1514,145.8389989,1
South Florida,71,East Carolina,63,8,134,1,106.6,19.4,33.7,30.3,103.9,20.1,28.6,38.6,34,50.5,64.7,68.3,16.6,17.8,0.7,106.6,46.5,3.9,0,34.2,47.7,73.8,103.2,19.2,33.8,36.8,106.4,17.8,28.7,33.5,31.7,47.7,69.7,67.1,17.4,17.6,0.1,103.2,23.3,-1.03,0,34,48.6,70.7,74.65211927,69.15781927,67.7,-5.4943,143.8099385,1
Tulane,74,SMU,52,22,126,1,111.8,14.8,19.1,36.9,102.1,20.2,29,27.7,33.4,55.1,79.9,72.7,15.4,17.1,-1.2,111.8,81.9,0.72,0,35.8,48.2,68.7,101.9,18.2,27.2,31.6,103.4,17.9,30.5,31.2,31.3,47.3,68.1,69.1,16.8,17.3,0.1,101.9,28.2,9.82,2,33.5,49.8,72,79.66962654,70.22882654,70.9,-9.4408,149.8984531,1
Wichita St.,61,Houston,70,-9,131,0,104.4,17.3,29,30.5,99.7,17.2,29.3,25.4,29.3,51.2,71.5,65.8,17.8,17.7,0.6,104.4,18.8,15.73,7,31.8,44.6,72.7,120.4,15,37.6,26.6,90.8,22.8,29,32.6,36,53.7,70.3,62.8,18.9,18.4,-0.6,120.4,40.4,13.91,5,27.2,42.6,71.7,59.53290531,74.04360531,64.3,14.5107,133.5765106,0
Cincinnati,73,UCF,64,9,137,1,110.4,15.2,30.5,24,98.1,17.6,26.6,29.4,35.5,49.8,69.5,68.6,17.1,17.3,0.7,110.4,55.8,19.35,11,32,47.3,75.5,109.6,20.9,35.4,30.4,97.8,20.6,30.9,31.7,36.3,47.4,76.2,64,18.6,17.9,1.3,109.6,15.6,5.66,0,31.3,47.4,73,69.95697235,68.12547235,66.3,-1.8315,138.0824447,1
East Carolina,77,SMU,72,5,149,1,103.2,19.2,33.8,36.8,106.4,17.8,28.7,33.5,31.7,47.7,69.7,67.1,17.4,17.6,0.1,103.2,23.3,-1.03,0,34,48.6,70.7,101.9,18.2,27.2,31.6,103.4,17.9,30.5,31.2,31.3,47.3,68.1,69.1,16.8,17.3,0.1,101.9,28.2,9.82,2,33.5,49.8,72,70.72593268,70.38363268,68.1,-0.3423,141.1095654,1
Memphis,89,Tulane,90,-1,179,0,112.9,18.3,32.1,35.7,97.6,21.1,32.1,36.5,32.8,53.5,73.6,71.7,15.5,17.2,0.1,112.9,29.1,21.92,6,31.6,46.1,74.3,111.8,14.8,19.1,36.9,102.1,20.2,29,27.7,33.4,55.1,79.9,72.7,15.4,17.1,-1.2,111.8,81.9,0.72,0,35.8,48.2,68.7,80.95852011,75.41532011,72.2,-5.5432,156.3738402,1
Temple,65,Houston,81,-16,146,0,106.6,20.3,29.1,36,101.1,17,30.2,31,32.1,49.7,76.9,66.2,18.2,17.5,0.7,106.6,58.9,13.15,6,31.3,47.5,68,120.4,15,37.6,26.6,90.8,22.8,29,32.6,36,53.7,70.3,62.8,18.9,18.4,-0.6,120.4,40.4,13.91,5,27.2,42.6,71.7,61.13241201,75.17691201,64.5,14.0445,136.309324,0
Tulsa,75,Wichita St.,86,-11,161,0,102.1,18.9,25.2,24.8,109.7,17.7,33.4,29.6,32.2,50.3,65.6,68.6,17.6,16.7,-0.9,102.1,36,9.68,2,30,56.1,72.9,104.4,17.3,29,30.5,99.7,17.2,29.3,25.4,29.3,51.2,71.5,65.8,17.8,17.7,0.6,104.4,18.8,15.73,7,31.8,44.6,72.7,66.58545251,73.35105251,67.2,6.7656,139.936505,0
Pacific,49,BYU,69,-20,118,0,107,16.4,24.3,32.7,109.1,18.7,32,36,37.6,48.7,72.4,69.7,16.8,17.1,-0.7,107,31.5,3.05,0,34,54.9,65.4,106,21.3,31.4,31.8,95.5,19.4,23.1,36,32.3,52.9,71.4,70,16.3,17.2,0,106,36.5,15.9,6,33.9,46.8,68.4,69.64101634,76.94211634,69.85,7.3011,146.5831327,0
Portland,72,Loyola Marymount,92,-20,164,0,109.2,18.9,24.6,43.9,108.5,18.2,30.5,27.7,37,51.9,72.7,69,16.8,17.2,0.2,109.2,62.1,-2.59,0,36.8,52.9,67.1,109.1,18.3,29,30.9,102.4,16.1,24.5,34,36.6,52.8,66.1,67.3,18.1,16.4,-0.1,109.1,51,-2.05,0,31.7,51.4,72.5,74.18425936,76.77325936,68.15,2.589,150.9575187,0
Saint Mary's,85,San Diego,58,27,143,1,113.2,16.4,33.4,29.6,89.5,19.9,21.1,29.7,36.5,51.5,68.7,61.8,20.3,17.4,1.1,113.2,57,13.38,3,31.2,44,74.1,111.1,16.3,29.1,33.4,114.6,17.8,29.1,33.9,35.2,50.1,76.9,68.7,16.8,17.2,-0.1,111.1,37.6,1.77,0,40.5,55.2,69.2,81.66181215,62.41381215,65.25,-19.248,144.0756243,1
Santa Clara,79,San Francisco,67,12,146,1,110.6,18.2,32.3,31.3,102.5,16.9,24.3,24.4,36,49.5,72.4,69.8,16.6,17.2,1.6,110.6,48.4,2.74,0,37.3,48.7,70.4,108.3,20.3,27.7,31.1,102,17.8,25.6,36.7,35.9,52.8,74.4,69.5,17.5,16.7,1.4,108.3,41.6,5.25,1,32.1,48.3,76.1,76.48055964,73.72685964,69.65,-2.7537,150.2074193,1
BYU,71,Portland,58,13,129,1,106,21.3,31.4,31.8,95.5,19.4,23.1,36,32.3,52.9,71.4,70,16.3,17.2,0,106,36.5,15.9,6,33.9,46.8,68.4,109.2,18.9,24.6,43.9,108.5,18.2,30.5,27.7,37,51.9,72.7,69,16.8,17.2,0.2,109.2,62.1,-2.59,0,36.8,52.9,67.1,77.63957961,69.32857961,69.5,-8.311,146.9681592,1
Gonzaga,111,Pepperdine,88,23,199,1,120.2,15.6,30.1,31.3,100.2,18.7,25.4,28,38.1,57.2,69.1,69.9,16.1,17.2,0.9,120.2,67.2,30.26,17,34.6,51.5,73.5,103.9,18.3,25.9,26.5,105.6,17.1,30.3,32.7,34.3,50.5,71.2,72.3,15.3,17.3,1.7,103.9,51.3,1.06,0,36.1,50.2,70.7,87.42673324,70.49803324,71.1,-16.9287,157.9247665,1
Pacific,78,Loyola Marymount,72,6,150,1,107,16.4,24.3,32.7,109.1,18.7,32,36,37.6,48.7,72.4,69.7,16.8,17.1,-0.7,107,31.5,3.05,0,34,54.9,65.4,109.1,18.3,29,30.9,102.4,16.1,24.5,34,36.6,52.8,66.1,67.3,18.1,16.4,-0.1,109.1,51,-2.05,0,31.7,51.4,72.5,73.05054609,77.57854609,68.5,4.528,150.6290922,0
San Francisco,68,San Diego,80,-12,148,0,108.3,20.3,27.7,31.1,102,17.8,25.6,36.7,35.9,52.8,74.4,69.5,17.5,16.7,1.4,108.3,41.6,5.25,1,32.1,48.3,76.1,111.1,16.3,29.1,33.4,114.6,17.8,29.1,33.9,35.2,50.1,76.9,68.7,16.8,17.2,-0.1,111.1,37.6,1.77,0,40.5,55.2,69.2,83.0057662,74.7339662,69.1,-8.2718,157.7397324,1
Santa Clara,64,Saint Mary's,67,-3,131,0,110.6,18.2,32.3,31.3,102.5,16.9,24.3,24.4,36,49.5,72.4,69.8,16.6,17.2,1.6,110.6,48.4,2.74,0,37.3,48.7,70.4,113.2,16.4,33.4,29.6,89.5,19.9,21.1,29.7,36.5,51.5,68.7,61.8,20.3,17.4,1.1,113.2,57,13.38,3,31.2,44,74.1,64.11090559,72.87570559,65.8,8.7648,136.9866112,0
Loyola Marymount,64,BYU,59,5,123,1,109.1,18.3,29,30.9,102.4,16.1,24.5,34,36.6,52.8,66.1,67.3,18.1,16.4,-0.1,109.1,51,-2.05,0,31.7,51.4,72.5,106,21.3,31.4,31.8,95.5,19.4,23.1,36,32.3,52.9,71.4,70,16.3,17.2,0,106,36.5,15.9,6,33.9,46.8,68.4,69.91202612,71.02072612,68.65,1.1087,140.9327522,0
Pepperdine,79,Santa Clara,89,-10,168,0,103.9,18.3,25.9,26.5,105.6,17.1,30.3,32.7,34.3,50.5,71.2,72.3,15.3,17.3,1.7,103.9,51.3,1.06,0,36.1,50.2,70.7,110.6,18.2,32.3,31.3,102.5,16.9,24.3,24.4,36,49.5,72.4,69.8,16.6,17.2,1.6,110.6,48.4,2.74,0,37.3,48.7,70.4,73.58260656,79.04550656,71.05,5.4629,152.6281131,0
San Diego,82,Pacific,84,-2,166,0,111.1,16.3,29.1,33.4,114.6,17.8,29.1,33.9,35.2,50.1,76.9,68.7,16.8,17.2,-0.1,111.1,37.6,1.77,0,40.5,55.2,69.2,107,16.4,24.3,32.7,109.1,18.7,32,36,37.6,48.7,72.4,69.7,16.8,17.1,-0.7,107,31.5,3.05,0,34,54.9,65.4,81.25531955,80.72411955,69.2,-0.5312,161.9794391,1
San Francisco,75,Gonzaga,77,-2,152,0,108.3,20.3,27.7,31.1,102,17.8,25.6,36.7,35.9,52.8,74.4,69.5,17.5,16.7,1.4,108.3,41.6,5.25,1,32.1,48.3,76.1,120.2,15.6,30.1,31.3,100.2,18.7,25.4,28,38.1,57.2,69.1,69.9,16.1,17.2,0.9,120.2,67.2,30.26,17,34.6,51.5,73.5,73.67668631,81.72558631,69.7,8.0489,155.4022726,0
Loyola Marymount,70,San Francisco,72,-2,142,0,109.1,18.3,29,30.9,102.4,16.1,24.5,34,36.6,52.8,66.1,67.3,18.1,16.4,-0.1,109.1,51,-2.05,0,31.7,51.4,72.5,108.3,20.3,27.7,31.1,102,17.8,25.6,36.7,35.9,52.8,74.4,69.5,17.5,16.7,1.4,108.3,41.6,5.25,1,32.1,48.3,76.1,74.10889274,72.33529274,68.4,-1.7736,146.4441855,1
Pepperdine,75,Pacific,80,-5,155,0,103.9,18.3,25.9,26.5,105.6,17.1,30.3,32.7,34.3,50.5,71.2,72.3,15.3,17.3,1.7,103.9,51.3,1.06,0,36.1,50.2,70.7,107,16.4,24.3,32.7,109.1,18.7,32,36,37.6,48.7,72.4,69.7,16.8,17.1,-0.7,107,31.5,3.05,0,34,54.9,65.4,78.21787989,76.43387989,71,-1.784,154.6517598,1
Saint Mary's,85,Portland,43,42,128,1,113.2,16.4,33.4,29.6,89.5,19.9,21.1,29.7,36.5,51.5,68.7,61.8,20.3,17.4,1.1,113.2,57,13.38,3,31.2,44,74.1,109.2,18.9,24.6,43.9,108.5,18.2,30.5,27.7,37,51.9,72.7,69,16.8,17.2,0.2,109.2,62.1,-2.59,0,36.8,52.9,67.1,77.85669218,61.31469218,65.4,-16.542,139.1713844,1
San Diego,48,BYU,68,-20,116,0,111.1,16.3,29.1,33.4,114.6,17.8,29.1,33.9,35.2,50.1,76.9,68.7,16.8,17.2,-0.1,111.1,37.6,1.77,0,40.5,55.2,69.2,106,21.3,31.4,31.8,95.5,19.4,23.1,36,32.3,52.9,71.4,70,16.3,17.2,0,106,36.5,15.9,6,33.9,46.8,68.4,71.99659958,80.20559958,69.35,8.209,152.2021992,0
Santa Clara,76,Gonzaga,81,-5,157,0,110.6,18.2,32.3,31.3,102.5,16.9,24.3,24.4,36,49.5,72.4,69.8,16.6,17.2,1.6,110.6,48.4,2.74,0,37.3,48.7,70.4,120.2,15.6,30.1,31.3,100.2,18.7,25.4,28,38.1,57.2,69.1,69.9,16.1,17.2,0.9,120.2,67.2,30.26,17,34.6,51.5,73.5,75.43856634,82.25071634,69.85,6.81215,157.6892827,0
BYU,74,Gonzaga,75,-1,149,0,106,21.3,31.4,31.8,95.5,19.4,23.1,36,32.3,52.9,71.4,70,16.3,17.2,0,106,36.5,15.9,6,33.9,46.8,68.4,120.2,15.6,30.1,31.3,100.2,18.7,25.4,28,38.1,57.2,69.1,69.9,16.1,17.2,0.9,120.2,67.2,30.26,17,34.6,51.5,73.5,72.32671969,77.47196969,69.95,5.14525,149.7986894,0
Portland,92,San Francisco,87,5,179,1,109.2,18.9,24.6,43.9,108.5,18.2,30.5,27.7,37,51.9,72.7,69,16.8,17.2,0.2,109.2,62.1,-2.59,0,36.8,52.9,67.1,108.3,20.3,27.7,31.1,102,17.8,25.6,36.7,35.9,52.8,74.4,69.5,17.5,16.7,1.4,108.3,41.6,5.25,1,32.1,48.3,76.1,75.08044623,77.45844623,69.25,2.378,152.5388925,0
Saint Mary's,76,Loyola Marymount,62,14,138,1,113.2,16.4,33.4,29.6,89.5,19.9,21.1,29.7,36.5,51.5,68.7,61.8,20.3,17.4,1.1,113.2,57,13.38,3,31.2,44,74.1,109.1,18.3,29,30.9,102.4,16.1,24.5,34,36.6,52.8,66.1,67.3,18.1,16.4,-0.1,109.1,51,-2.05,0,31.7,51.4,72.5,72.92673869,60.45323869,64.55,-12.4735,133.3799774,1
San Diego,92,Pepperdine,89,3,181,1,111.1,16.3,29.1,33.4,114.6,17.8,29.1,33.9,35.2,50.1,76.9,68.7,16.8,17.2,-0.1,111.1,37.6,1.77,0,40.5,55.2,69.2,103.9,18.3,25.9,26.5,105.6,17.1,30.3,32.7,34.3,50.5,71.2,72.3,15.3,17.3,1.7,103.9,51.3,1.06,0,36.1,50.2,70.7,80.28611313,80.05511313,70.5,-0.231,160.3412263,1
BYU,91,Pepperdine,81,10,172,1,106,21.3,31.4,31.8,95.5,19.4,23.1,36,32.3,52.9,71.4,70,16.3,17.2,0,106,36.5,15.9,6,33.9,46.8,68.4,103.9,18.3,25.9,26.5,105.6,17.1,30.3,32.7,34.3,50.5,71.2,72.3,15.3,17.3,1.7,103.9,51.3,1.06,0,36.1,50.2,70.7,77.38385992,67.20355992,71.15,-10.1803,144.5874198,1
Gonzaga,115,Portland,75,40,190,1,120.2,15.6,30.1,31.3,100.2,18.7,25.4,28,38.1,57.2,69.1,69.9,16.1,17.2,0.9,120.2,67.2,30.26,17,34.6,51.5,73.5,109.2,18.9,24.6,43.9,108.5,18.2,30.5,27.7,37,51.9,72.7,69,16.8,17.2,0.2,109.2,62.1,-2.59,0,36.8,52.9,67.1,87.44670293,72.54285293,69.45,-14.90385,159.9895559,1
Loyola Marymount,98,San Diego,84,14,182,1,109.1,18.3,29,30.9,102.4,16.1,24.5,34,36.6,52.8,66.1,67.3,18.1,16.4,-0.1,109.1,51,-2.05,0,31.7,51.4,72.5,111.1,16.3,29.1,33.4,114.6,17.8,29.1,33.9,35.2,50.1,76.9,68.7,16.8,17.2,-0.1,111.1,37.6,1.77,0,40.5,55.2,69.2,82.25227933,73.81627933,68,-8.436,156.0685587,1
Pacific,81,Santa Clara,92,-11,173,0,107,16.4,24.3,32.7,109.1,18.7,32,36,37.6,48.7,72.4,69.7,16.8,17.1,-0.7,107,31.5,3.05,0,34,54.9,65.4,110.6,18.2,32.3,31.3,102.5,16.9,24.3,24.4,36,49.5,72.4,69.8,16.6,17.2,1.6,110.6,48.4,2.74,0,37.3,48.7,70.4,74.42596299,80.04046299,69.75,5.6145,154.466426,0
San Francisco,61,Saint Mary's,78,-17,139,0,108.3,20.3,27.7,31.1,102,17.8,25.6,36.7,35.9,52.8,74.4,69.5,17.5,16.7,1.4,108.3,41.6,5.25,1,32.1,48.3,76.1,113.2,16.4,33.4,29.6,89.5,19.9,21.1,29.7,36.5,51.5,68.7,61.8,20.3,17.4,1.1,113.2,57,13.38,3,31.2,44,74.1,62.45822556,72.38132556,65.65,9.9231,134.8395511,0
Gonzaga,67,Loyola Marymount,68,-1,135,0,120.2,15.6,30.1,31.3,100.2,18.7,25.4,28,38.1,57.2,69.1,69.9,16.1,17.2,0.9,120.2,67.2,30.26,17,34.6,51.5,73.5,109.1,18.3,29,30.9,102.4,16.1,24.5,34,36.6,52.8,66.1,67.3,18.1,16.4,-0.1,109.1,51,-2.05,0,31.7,51.4,72.5,82.21019944,71.58639944,68.6,-10.6238,153.7965989,1
